rank,company_id,company_name,aliases,source_ticker,twelve_data_symbol,twelve_data_exchange,exchange,sector,industry,country,market_cap_usd,ranking_snapshot_date
1,C001,NVIDIA Corporation,NVIDIA|Nvidia|英伟达,NASDAQ-NVDA,NVDA,NASDAQ,NASDAQ,Technology,Semiconductors,United States,5136204579214.00,2026-07-23
2,C002,Apple Inc.,Apple|Apple Inc|苹果,NASDAQ-AAPL,AAPL,NASDAQ,NASDAQ,Technology,Consumer Electronics,United States,4786462446840.00,2026-07-23
3,C003,Alphabet Inc.,Alphabet|Alphabet Inc|Google|谷歌,NASDAQ-GOOG,GOOG,NASDAQ,NASDAQ,Communication Services,Internet Content & Information,United States,4173503373197.00,2026-07-23
4,C004,Microsoft Corporation,Microsoft|Microsoft Corporation|微软,NASDAQ-MSFT,MSFT,NASDAQ,NASDAQ,Technology,Software - Infrastructure,United States,2899615202359.00,2026-07-23
5,C005,Amazon.com Inc.,Amazon|Amazon.com|Amazon.com Inc|亚马逊,NASDAQ-AMZN,AMZN,NASDAQ,NASDAQ,Consumer Cyclical,Internet Retail,United States,2633878245405.00,2026-07-23
6,C006,Space Exploration Technologies Corp.,SpaceX|Space Exploration Technologies|Space Exploration Technologies Corp.,NASDAQ-SPCX,SPCX,NASDAQ,NASDAQ,Industrials,Aerospace & Defense,United States,2081445780435.00,2026-07-23
7,C007,Taiwan Semiconductor Manufacturing Company,TSMC|Taiwan Semiconductor|Taiwan Semiconductor Manufacturing Company|台积电,NYSE-TSM,TSM,NYSE,NYSE,Technology,Semiconductors,Taiwan,1918902625099.00,2026-07-23
8,C008,Broadcom Inc.,Broadcom|Broadcom Inc|博通,NASDAQ-AVGO,AVGO,NASDAQ,NASDAQ,Technology,Semiconductors,United States,1887855398368.00,2026-07-23
9,C010,Saudi Arabian Oil Company,Saudi Aramco|Aramco|Saudi Arabian Oil Company|沙特阿美,TADAWUL-2222,2222,Tadawul,Tadawul,Energy,Oil & Gas Integrated,Saudi Arabia,1713040813381.25,2026-07-23
10,C009,Meta Platforms Inc.,Meta|Meta Platforms|Facebook|Instagram|WhatsApp,NASDAQ-META,META,NASDAQ,NASDAQ,Communication Services,Internet Content & Information,United States,1592022943570.00,2026-07-23
