rank,name,source_ticker,market_cap_usd,price,change_percent,country_or_region
1,英伟达,NASDAQ-NVDA,5136204579214.00,212.060000,2.3,美国
2,苹果,NASDAQ-AAPL,4786462446840.00,325.890000,-0.56,美国
3,谷歌,NASDAQ-GOOG,4173503373197.00,341.910000,-1.24,美国
4,微软,NASDAQ-MSFT,2899615202359.00,390.340000,-1.86,美国
5,亚马逊,NASDAQ-AMZN,2633878245405.00,244.850000,-1.09,美国
6,Space Exploration Technologies Corp.,NASDAQ-SPCX,2081445780435.00,115.260000,-6.7,美国
7,台积电,NYSE-TSM,1918902625099.00,421.210000,-0.8,中国台湾
8,博通,NASDAQ-AVGO,1887855398368.00,396.810000,2.67,美国
9,沙特阿美,TADAWUL-2222,1713040813381.25,7.081391,-0.45,沙特阿拉伯
10,Meta,NASDAQ-META,1592022943570.00,627.170000,-2.58,美国
11,特斯拉,NASDAQ-TSLA,1404678284993.00,374.010000,-1.3,美国
12,三星电子,KRX-005930,1126215617096.17,182.976682,3.07,韩国
13,美光科技,NASDAQ-MU,1083630140521.00,959.480000,-1.17,美国
14,伯克希尔·哈撒韦,NYSE-BRK.B,1054867765244.00,489.390000,-0.05,美国
15,礼来,NYSE-LLY,1037104172592.00,1163.010000,-1.05,美国
16,摩根大通,NYSE-JPM,925611822000.00,348.210000,0.86,美国
17,SK海力士,KRX-000660,908970819578.15,1294.125583,3.77,韩国
18,超威半导体,NASDAQ-AMD,900629650939.00,552.330000,1.45,美国
19,沃尔玛,NYSE-WMT,870056794016.00,109.330000,-0.96,美国
20,阿斯麦,NASDAQ-ASML,696745523708.00,1801.860000,0.02,荷兰
21,维萨,NYSE-V,665808894708.00,353.420000,-0.67,美国
22,埃克森美孚,NYSE-XOM,640111161242.00,154.450000,1.81,美国
23,强生,NYSE-JNJ,615356874297.00,255.630000,2,美国
24,英特尔,NASDAQ-INTC,515768120000.00,102.620000,-2.68,美国
25,腾讯,HKG-0700,504506813533.46,56.962106,1.36,中国
26,万事达,NYSE-MA,470048939183.00,531.980000,-1.17,美国
27,艾伯维,NYSE-ABBV,447528621559.00,253.300000,-1.09,美国
28,思科,NASDAQ-CSCO,442268383760.00,112.210000,0.03,美国
29,应用材料,NASDAQ-AMAT,439790007466.00,553.920000,-1.88,美国
30,美国银行,NYSE-BAC,432447154885.00,61.620000,0.65,美国
31,开市客,NASDAQ-COST,411242329737.00,927.310000,-0.21,美国
32,卡特彼勒,NYSE-CAT,409609056402.00,889.310000,-0.07,美国
33,拉姆研究,NASDAQ-LRCX,399294814590.00,319.290000,-0.84,美国
34,联合健康,NYSE-UNH,391691762889.00,431.310000,-1.16,美国
35,雪佛龙,NYSE-CVX,381604389681.00,192.980000,1,美国
36,工商银行,SHA-601398,380192329454.96,1.132974,0.92,中国
37,甲骨文,NYSE-ORCL,362478470640.00,125.840000,-0.95,美国
38,通用电气(US),NYSE-GE,354005953810.00,341.190000,0.14,美国
39,汇丰,LON-HSBA,353809558053.16,2063.244900,2.09,英国
40,可口可乐,NYSE-KO,353664054760.00,82.200000,0.28,美国
